config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,100,90,0.9,1.0,1.0,-0.0
T0_temp0.5,100,91,0.91,1.0,1.0,-0.0
T0_temp0.7,100,87,0.87,1.0,1.0,-0.0
T1_temp0.2,100,90,0.9,1.0,1.0,-0.0
T1_temp0.5,100,89,0.89,1.0,1.0,-0.0
T1_temp0.7,100,87,0.87,1.0,1.0,-0.0
T2_temp0.2,100,92,0.92,1.0,1.0,-0.0
T2_temp0.5,100,91,0.91,1.0,1.0,-0.0
T2_temp0.7,100,89,0.89,1.0,1.0,-0.0
T3_temp0.2,100,91,0.91,1.0,1.0,-0.0
T3_temp0.5,100,90,0.9,1.0,1.0,-0.0
T3_temp0.7,100,91,0.91,1.0,1.0,-0.0
T4_temp0.2,100,89,0.89,1.0,1.0,-0.0
T4_temp0.5,100,90,0.9,1.0,1.0,-0.0
T4_temp0.7,100,89,0.89,1.0,1.0,-0.0
T5_temp0.2,100,84,0.84,1.0,1.0,-0.0
T5_temp0.5,100,89,0.89,1.0,1.0,-0.0
T5_temp0.7,100,84,0.84,1.0,1.0,-0.0
