config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,30,6,0.2,0.8,0.9333,0.1837
T0_temp0.7,30,4,0.1333,0.5,0.7667,0.5925
T1_temp0.2,30,6,0.2,1.0,1.0,-0.0
T1_temp0.7,30,8,0.2667,0.4,0.7667,0.6176
T2_temp0.2,30,6,0.2,0.5,0.8333,0.4591
T2_temp0.7,30,5,0.1667,0.4,0.8,0.551
T3_temp0.2,30,5,0.1667,0.6,0.8667,0.3673
T3_temp0.7,30,9,0.3,0.3,0.7333,0.7095
T4_temp0.2,30,7,0.2333,0.7,0.9,0.2755
T4_temp0.7,30,7,0.2333,0.6,0.8,0.5007
T5_temp0.2,30,6,0.2,0.5,0.8,0.5258
T5_temp0.7,30,5,0.1667,0.6,0.8333,0.434
