config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,60,45,0.75,0.8,0.9333,0.1837
T0_temp0.5,60,43,0.7167,0.75,0.9167,0.2296
T0_temp0.7,60,47,0.7833,0.85,0.95,0.1377
T1_temp0.2,60,47,0.7833,0.95,0.9833,0.0459
T1_temp0.5,60,48,0.8,0.8,0.9333,0.1837
T1_temp0.7,60,47,0.7833,0.85,0.95,0.1377
T2_temp0.2,60,43,0.7167,0.7,0.8833,0.3088
T2_temp0.5,60,49,0.8167,0.9,0.9667,0.0918
T2_temp0.7,60,46,0.7667,0.8,0.9333,0.1837
T3_temp0.2,60,43,0.7167,0.95,0.9833,0.0459
T3_temp0.5,60,44,0.7333,0.9,0.9667,0.0918
T3_temp0.7,60,46,0.7667,0.85,0.95,0.1377
T4_temp0.2,60,49,0.8167,0.8,0.9167,0.217
T4_temp0.5,60,48,0.8,0.85,0.95,0.1377
T4_temp0.7,60,42,0.7,0.7,0.8833,0.3088
T5_temp0.2,60,47,0.7833,0.85,0.95,0.1377
T5_temp0.5,60,45,0.75,0.8,0.9333,0.1837
T5_temp0.7,60,46,0.7667,0.95,0.9833,0.0459
