config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,500,450,0.9,0.91,0.972,0.0814
T0_temp0.5,500,450,0.9,0.9,0.976,0.0812
T0_temp0.7,500,449,0.898,0.9,0.974,0.0837
T1_temp0.2,500,448,0.896,0.96,0.984,0.0428
T1_temp0.5,500,447,0.894,0.93,0.978,0.0605
T1_temp0.7,500,447,0.894,0.92,0.978,0.0652
T2_temp0.2,500,449,0.898,0.87,0.958,0.1238
T2_temp0.5,500,450,0.9,0.87,0.96,0.1183
T2_temp0.7,500,438,0.876,0.8,0.932,0.1933
T3_temp0.2,500,450,0.9,0.91,0.976,0.0724
T3_temp0.5,500,456,0.912,0.95,0.98,0.0516
T3_temp0.7,500,441,0.882,0.88,0.962,0.1041
T4_temp0.2,500,444,0.888,0.87,0.95,0.1388
T4_temp0.5,500,443,0.886,0.87,0.964,0.1133
T4_temp0.7,500,439,0.878,0.81,0.942,0.1811
T5_temp0.2,500,426,0.852,0.78,0.924,0.2327
T5_temp0.5,500,428,0.856,0.75,0.92,0.2439
T5_temp0.7,500,415,0.83,0.65,0.892,0.321
T0_temp1.0,500,452,0.904,0.91,0.974,0.0749
T0_temp1.5,500,449,0.898,0.91,0.972,0.0804
T1_temp1.0,500,450,0.9,0.92,0.976,0.0677
T1_temp1.5,500,438,0.876,0.85,0.948,0.1387
T2_temp1.0,500,442,0.884,0.81,0.938,0.1921
T2_temp1.5,500,437,0.874,0.77,0.926,0.2279
T3_temp1.0,500,449,0.898,0.91,0.968,0.0924
T3_temp1.5,500,445,0.89,0.88,0.96,0.1176
T4_temp1.0,500,436,0.872,0.82,0.946,0.1714
T4_temp1.5,500,437,0.874,0.78,0.93,0.2203
T5_temp1.0,500,423,0.846,0.65,0.888,0.339
T5_temp1.5,500,427,0.854,0.65,0.896,0.321
T0_temp2.0,500,449,0.898,0.88,0.964,0.1046
T1_temp2.0,500,437,0.874,0.84,0.95,0.1379
T2_temp2.0,500,435,0.87,0.71,0.93,0.2403
T3_temp2.0,500,440,0.88,0.85,0.954,0.1322
T4_temp2.0,500,433,0.866,0.77,0.924,0.2365
T5_temp2.0,500,386,0.772,0.58,0.862,0.3955
