config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,500,450,0.9,0.92,0.974,0.0702
T0_temp0.5,500,453,0.906,0.91,0.98,0.0675
T0_temp0.7,500,456,0.912,0.89,0.964,0.1008
T0_temp1.0,500,442,0.884,0.87,0.962,0.1128
T0_temp1.5,999,889,0.8899,0.79,0.95,0.1574
T0_temp2.0,1000,892,0.892,0.84,0.962,0.1271
T1_temp0.2,500,445,0.89,0.97,0.99,0.0266
T1_temp0.5,500,445,0.89,0.95,0.988,0.0386
T1_temp0.7,500,443,0.886,0.93,0.978,0.0605
T1_temp1.0,500,446,0.892,0.93,0.98,0.058
T1_temp1.5,1000,887,0.887,0.9,0.967,0.0836
T1_temp2.0,1000,889,0.889,0.89,0.968,0.0894
T2_temp0.2,500,388,0.776,0.67,0.87,0.3741
T2_temp0.5,500,389,0.778,0.53,0.85,0.4481
T2_temp0.7,500,385,0.77,0.54,0.838,0.4654
T2_temp1.0,500,372,0.744,0.44,0.812,0.5541
T2_temp1.5,1000,758,0.758,0.32,0.8,0.6675
T2_temp2.0,1000,736,0.736,0.27,0.788,0.7247
T3_temp0.2,500,451,0.902,0.93,0.986,0.0505
T3_temp0.5,500,450,0.9,0.94,0.984,0.0483
T3_temp0.7,500,449,0.898,0.91,0.974,0.0749
T3_temp1.0,500,445,0.89,0.91,0.978,0.07
T3_temp1.5,1000,906,0.906,0.89,0.976,0.0818
T3_temp2.0,1000,895,0.895,0.87,0.977,0.0828
T4_temp0.2,500,431,0.862,0.8,0.932,0.2093
T4_temp0.5,500,427,0.854,0.73,0.92,0.2453
T4_temp0.7,500,418,0.836,0.73,0.918,0.2478
T4_temp1.0,500,426,0.852,0.72,0.904,0.287
T4_temp1.5,1000,844,0.844,0.58,0.888,0.3845
T4_temp2.0,1000,830,0.83,0.49,0.874,0.4223
T5_temp0.2,500,435,0.87,0.82,0.942,0.1784
T5_temp0.5,500,436,0.872,0.78,0.934,0.1923
T5_temp0.7,500,429,0.858,0.74,0.924,0.2326
T5_temp1.0,499,439,0.8798,0.79,0.9275,0.2049
T5_temp1.5,500,424,0.848,0.71,0.92,0.2628
T5_temp2.0,500,423,0.846,0.73,0.92,0.2524
