term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2088733024522864,0.21361680412015738,4.628263123931439e-25,9.10545152152329,5.990556821833103,13.839990150605182
C(treatment)[T.T1],-0.04864977655293472,0.2991550954062642,0.8708145463453547,0.9525146642583808,0.5299387932444674,1.7120546696960048
C(treatment)[T.T2],0.09298389186842673,0.3015228335965839,0.7577924909514864,1.0974440573524331,0.6077444110382035,1.981726918657688
C(treatment)[T.T3],0.12212824043020223,0.30475584805499434,0.6886106350159087,1.1298989912224973,0.621764906349575,2.0533029724386433
C(treatment)[T.T4],-0.09089451864480366,0.29463086343925043,0.7576995832723672,0.9131140223241703,0.5125428247433459,1.6267464444215687
C(treatment)[T.T5],-0.36172151608935793,0.28018913066033985,0.19670695909497327,0.6964762982804789,0.40216524718232294,1.2061689503632476
temp,-0.04072784145112614,0.4179624010957326,0.9223739688568597,0.9600903912016016,0.4231899494745318,2.178155602282606
C(treatment)[T.T1]:temp,-0.00399129630322075,0.5852697872032325,0.9945588016269378,0.9960166583332465,0.3162823096614314,3.1365939648641095
C(treatment)[T.T2]:temp,-0.37619464860487317,0.5840355493668132,0.5194913266163772,0.6864686998622497,0.21851418965028874,2.156561441820969
C(treatment)[T.T3]:temp,-0.289231430349531,0.5914538731642037,0.62482914470468,0.7488388813031721,0.23492686600767365,2.386954202730775
C(treatment)[T.T4]:temp,-0.14474729840836936,0.5743598346737878,0.8010294633127519,0.8652409132426706,0.28069332538291497,2.6671166367341717
C(treatment)[T.T5]:temp,-0.26405171142753403,0.5453625827639713,0.6282606589328081,0.7679338276754526,0.26369494016713707,2.2363810367938406
