term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2088733024523544,0.3238034825267483,9.000212777613675e-12,9.105451521523909,4.826967755851823,17.176258803533475
C(treatment)[T.T1],-0.048649776552965054,0.23447466772498776,0.8356317717371948,0.952514664258352,0.6015653374398433,1.5082055583329375
C(treatment)[T.T2],0.09298389186837475,0.21680713277025707,0.6680117347225507,1.097444057352376,0.7175173945540424,1.6785425247656944
C(treatment)[T.T3],0.12212824043013398,0.19026454241897658,0.5209468829343229,1.1298989912224202,0.7781855689755962,1.6405749235957356
C(treatment)[T.T4],-0.09089451864485601,0.17510544946520265,0.6037018407494272,0.9131140223241224,0.6478466903440677,1.2869977267648363
C(treatment)[T.T5],-0.36172151608942515,0.24082167337955904,0.13308921323108325,0.696476298280432,0.43442498499515975,1.1166006809479843
temp,-0.04072784145118818,0.23962280435083258,0.8650365084071673,0.960090391201542,0.6002623087938492,1.5356179219876671
C(treatment)[T.T1]:temp,-0.003991296303137014,0.2629543081623926,0.9878896396860699,0.9960166583333299,0.5948882297146684,1.6676228140424274
C(treatment)[T.T2]:temp,-0.37619464860483354,0.38891923246308296,0.33340298235106225,0.6864686998622769,0.3203066873363052,1.471212729929139
C(treatment)[T.T3]:temp,-0.2892314303494016,0.2827109824591503,0.30627758379523495,0.748838881303269,0.4302688831924447,1.303277304161274
C(treatment)[T.T4]:temp,-0.14474729840830408,0.2941191082839852,0.6226215292488693,0.8652409132427271,0.4861584153689835,1.539913358037638
C(treatment)[T.T5]:temp,-0.26405171142747136,0.36404178599096143,0.46824744424107323,0.7679338276755008,0.3762228548989309,1.5674814966963384
