config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,100,1,0.9,1.0,0.0,1.0
T0_temp0.5,T0,0.5,100,1,0.91,1.0,0.0,1.0
T0_temp0.7,T0,0.7,100,1,0.87,1.0,0.0,1.0
T1_temp0.2,T1,0.2,100,1,0.9,1.0,0.0,1.0
T1_temp0.5,T1,0.5,100,1,0.89,1.0,0.0,1.0
T1_temp0.7,T1,0.7,100,1,0.87,1.0,0.0,1.0
T2_temp0.2,T2,0.2,100,1,0.92,1.0,0.0,1.0
T2_temp0.5,T2,0.5,100,1,0.91,1.0,0.0,1.0
T2_temp0.7,T2,0.7,100,1,0.89,1.0,0.0,1.0
T3_temp0.2,T3,0.2,100,1,0.91,1.0,0.0,1.0
T3_temp0.5,T3,0.5,100,1,0.9,1.0,0.0,1.0
T3_temp0.7,T3,0.7,100,1,0.91,1.0,0.0,1.0
T4_temp0.2,T4,0.2,100,1,0.89,1.0,0.0,1.0
T4_temp0.5,T4,0.5,100,1,0.9,1.0,0.0,1.0
T4_temp0.7,T4,0.7,100,1,0.89,1.0,0.0,1.0
T5_temp0.2,T5,0.2,100,1,0.84,1.0,0.0,1.0
T5_temp0.5,T5,0.5,100,1,0.89,1.0,0.0,1.0
T5_temp0.7,T5,0.7,100,1,0.84,1.0,0.0,1.0
