term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2007338881231107,0.13470466247736707,5.342086466996599e-60,9.031639280645955,6.935913371213492,11.760600764457875
C(treatment)[T.T1],0.016026768529572064,0.1885833408458934,0.9322732597279292,1.016155886040918,0.7021581752078253,1.4705700527234928
C(treatment)[T.T2],0.005095142379257678,0.18712453624486267,0.9782773908830373,1.0051081446906867,0.6965129112109347,1.4504287950200088
C(treatment)[T.T3],0.0386993394940471,0.19000289409215274,0.8386054230581885,1.03945791272169,0.7162640945252391,1.508483757008512
C(treatment)[T.T4],-0.12045800768360808,0.18417014442271384,0.5130742594403206,0.886514313353302,0.6178982427956633,1.2719046168904116
C(treatment)[T.T5],-0.4894777818662026,0.17539346159113497,0.005258748097296482,0.6129464023464621,0.4346348756915604,0.8644112867189465
temp,-0.004497066771011407,0.1499285102760948,0.9760712476955772,0.9955130298929658,0.7420364248597496,1.3355762055400286
C(treatment)[T.T1]:temp,-0.12889066273110486,0.20776081998651755,0.5350076200401114,0.8790700754125053,0.5850243141849445,1.3209095395673638
C(treatment)[T.T2]:temp,-0.18596569229252324,0.20534611725940827,0.36513665410234974,0.8303020802541844,0.5551904437958375,1.2417388522774044
C(treatment)[T.T3]:temp,-0.09901821237583039,0.2097670666848126,0.6368990332201028,0.9057262124471566,0.6003985086951702,1.36632579867111
C(treatment)[T.T4]:temp,-0.11167334775523194,0.20331914316250496,0.5828328547125547,0.8943363467672019,0.600388178762176,1.3322006152718306
C(treatment)[T.T5]:temp,0.01045413606439748,0.19534728376290617,0.9573210648909546,1.010508971463814,0.6890602679895901,1.4819144693803212
