treatment,temp,predicted_p_correct
T0,0.2,0.9092946442812934
T0,0.5,0.9058036398115873
T0,0.7,0.9034098735561416
T0,1.0,0.8997173587383864
T0,1.5,0.893284156876648
T0,2.0,0.8864903267360079
T1,0.2,0.8995301755979274
T1,0.5,0.8957064671929457
T1,0.7,0.8930863927111713
T1,1.0,0.8890476940041507
T1,1.5,0.8820197799621887
T1,2.0,0.8746094905316731
T2,0.2,0.8946391471076631
T2,0.5,0.8906519225106714
T2,0.7,0.887920756203298
T2,1.0,0.8837123318986378
T2,1.5,0.8763934528557353
T2,2.0,0.8686823894240573
T3,0.2,0.9038050149172269
T3,0.5,0.9001259358647046
T3,0.7,0.8976041954268846
T3,1.0,0.8937158482493152
T3,1.5,0.8869460225867324
T3,2.0,0.8798029829551984
T4,0.2,0.8888234283321592
T4,0.5,0.8846444947439331
T4,0.7,0.8817831978001206
T4,1.0,0.8773761430981724
T4,1.5,0.8697172704241862
T4,2.0,0.8616554656014966
T5,0.2,0.8497368850525192
T5,0.5,0.8443460471327532
T5,0.7,0.8406652149471887
T5,1.0,0.8350121133956173
T5,1.5,0.8252343140407216
T5,2.0,0.8150054254312645
