term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2007338881229215,0.30267779091448765,3.5715318503717506e-13,9.031639280644246,4.990247051869313,16.34598592971872
C(treatment)[T.T1],0.016026768529576803,0.23081712602046633,0.9446434343603507,1.0161558860409228,0.646375420011518,1.5974815142525267
C(treatment)[T.T2],0.005095142379256342,0.10757317579022536,0.962222776270618,1.0051081446906853,0.814037958364357,1.241026136610911
C(treatment)[T.T3],0.0386993394940235,0.13446028872969512,0.7734903387849922,1.0394579127216654,0.7986417342788223,1.3528879170024268
C(treatment)[T.T4],-0.12045800768362039,0.1178925701155692,0.30689412302980834,0.8865143133532911,0.7036125389733777,1.1169608047732549
C(treatment)[T.T5],-0.489477781866208,0.19333330120213377,0.011348450574283318,0.6129464023464589,0.4196177705359895,0.8953464760788628
temp,-0.004497066771016165,0.08111266256938149,0.9557861540897712,0.995513029892961,0.8491852781807415,1.1670553154310905
C(treatment)[T.T1]:temp,-0.12889066273110172,0.1192588335718795,0.2798020734343779,0.879070075412508,0.6958382976996791,1.1105514025893333
C(treatment)[T.T2]:temp,-0.18596569229249887,0.10272662859219371,0.07024976507449585,0.8303020802542046,0.6788806878381183,1.0154973573778403
C(treatment)[T.T3]:temp,-0.099018212375796,0.11435893517266225,0.3865698915948682,0.9057262124471878,0.7238567789361205,1.1332904461012476
C(treatment)[T.T4]:temp,-0.11167334775523702,0.11544259020484669,0.33336927757774615,0.8943363467671973,0.7132374927943115,1.1214181941211545
C(treatment)[T.T5]:temp,0.010454136064415715,0.1355080358980762,0.9385060307071851,1.0105089714638325,0.7748067664768646,1.3179136083853276
