treatment,temp,predicted_p_correct
T0,0.2,0.9002346456752748
T0,0.5,0.9001134127557886
T0,0.7,0.9000325180635317
T0,1.0,0.8999110668309346
T0,1.5,0.8997083566743838
T1,0.2,0.8993554294753333
T1,0.5,0.8956750181667044
T1,0.7,0.8931557914921396
T1,1.0,0.8892765806431767
T1,1.5,0.8825371802225578
T2,0.2,0.897314590663826
T2,0.5,0.8919289553229368
T2,0.7,0.8882019579001558
T2,1.0,0.8824010209878035
T2,1.5,0.8721534751251887
T3,0.2,0.9019189225164561
T3,0.5,0.8991373023627424
T3,0.7,0.897244178414393
T3,1.0,0.8943455112685714
T3,1.5,0.8893540854377501
T4,0.2,0.8866572217112612
T4,0.5,0.8831073394740396
T4,0.7,0.8806874831142854
T4,1.0,0.8769765716196333
T4,1.5,0.8705713840806708
T5,0.2,0.8471534694194585
T5,0.5,0.8473847302681654
T5,0.7,0.8475387447327641
T5,1.0,0.8477695274004863
T5,1.5,0.8481535281790104
