term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.377048996737169,0.5429102543974088,1.1958333864749816e-05,10.7730645608984,3.7171041027450302,31.222940446455908
C(treatment)[T.T1],0.30445568460877204,0.7539231307154394,0.6863388005560436,1.3558867720704202,0.3093649436400204,5.9425897357483235
C(treatment)[T.T2],-0.15804531955143333,0.7368387405865099,0.8301641409720651,0.8538110867562029,0.2014429123569968,3.6188583819513465
C(treatment)[T.T3],-0.032939425550927055,0.7569562117975983,0.9652905063245821,0.9675971694793489,0.21946256654380322,4.266077341247078
C(treatment)[T.T4],-0.4943684541771776,0.7270929291316092,0.4965521301638295,0.6099560008458381,0.14668459709714646,2.536369396177628
C(treatment)[T.T5],-0.7989978693198461,0.7050343672356503,0.2570987590672329,0.4497794761559103,0.11294376611889034,1.7911708111285414
temp,-0.13456782781281904,0.42370147501733685,0.750787945585798,0.8740935890095022,0.38097454433871,2.005487279140188
C(treatment)[T.T1]:temp,-0.34971227619689577,0.5848592779933532,0.5498782350575273,0.7048908744274844,0.2240163001912065,2.218013351827724
C(treatment)[T.T2]:temp,-0.053568977841629256,0.5746160561559461,0.9257242662529935,0.9478405587529144,0.3073351454332864,2.9231987885747808
C(treatment)[T.T3]:temp,-0.03434448835549105,0.5904058198035108,0.9536124318275628,0.966238589355421,0.3037531557228334,3.0736043197241845
C(treatment)[T.T4]:temp,0.17064644524220945,0.5690717295004581,0.7642777852065644,1.1860713337198274,0.3887829172098097,3.618382254981533
C(treatment)[T.T5]:temp,0.26008345758809787,0.5523490370094699,0.637735038156722,1.2970383298395307,0.4393228762864525,3.829321257507203
