term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.3770489967371446,0.4216335186512741,1.7232285222277086e-08,10.773064560898137,4.7145209053512245,24.617330660586635
C(treatment)[T.T1],0.3044556846087678,0.48242406595329135,0.5279780460407486,1.3558867720704146,0.526715099564134,3.4903668799259044
C(treatment)[T.T2],-0.1580453195515057,0.3659497453756035,0.6658307298306185,0.8538110867561411,0.41673413748977284,1.7493008282423064
C(treatment)[T.T3],-0.03293942555095227,0.31459987420408375,0.9166117968806423,0.9675971694793245,0.5222780453453449,1.792616577948111
C(treatment)[T.T4],-0.4943684541772161,0.42185105247939275,0.24123605937623016,0.6099560008458146,0.26681586117219724,1.3943935766536333
C(treatment)[T.T5],-0.798997869319871,0.5192378434717277,0.12385563396644374,0.4497794761558991,0.16256066195665075,1.2444682171940329
temp,-0.1345678278128968,0.2242748896704855,0.5484976357696735,0.8740935890094342,0.5631852795925091,1.3566398661914818
C(treatment)[T.T1]:temp,-0.34971227619686285,0.340743927972015,0.30474081725045477,0.7048908744275076,0.36147211581908567,1.374576690999471
C(treatment)[T.T2]:temp,-0.05356897784153242,0.2935666404587055,0.8552088891797681,0.9478405587530061,0.5331462015209674,1.685094486754735
C(treatment)[T.T3]:temp,-0.03434448835543103,0.28207021938403637,0.90309016487901,0.9662385893554789,0.5558803985747821,1.6795285711699133
C(treatment)[T.T4]:temp,0.17064644524228104,0.326985068608279,0.6017549966522102,1.1860713337199122,0.6248496056075505,2.2513660824100428
C(treatment)[T.T5]:temp,0.2600834575881693,0.3755482332945304,0.4885961286726742,1.2970383298396235,0.6212690241480108,2.7078582122780475
