config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp1.0,T0,1.0,100,5,0.904,0.91,0.074935,0.9740000000000001
T0_temp1.5,T0,1.5,100,5,0.898,0.91,0.080444,0.972
T1_temp1.0,T1,1.0,100,5,0.9,0.92,0.067716,0.976
T1_temp1.5,T1,1.5,100,5,0.8759999999999999,0.85,0.138704,0.948
T2_temp1.0,T2,1.0,100,5,0.884,0.81,0.192107,0.938
T2_temp1.5,T2,1.5,100,5,0.8740000000000001,0.77,0.227929,0.9259999999999999
T3_temp1.0,T3,1.0,100,5,0.898,0.91,0.09244400000000001,0.968
T3_temp1.5,T3,1.5,100,5,0.89,0.88,0.11757400000000001,0.96
T4_temp1.0,T4,1.0,100,5,0.872,0.82,0.17137899999999998,0.946
T4_temp1.5,T4,1.5,100,5,0.8740000000000001,0.78,0.220255,0.93
T5_temp1.0,T5,1.0,100,5,0.846,0.65,0.33901200000000004,0.888
T5_temp1.5,T5,1.5,100,5,0.8540000000000001,0.65,0.321048,0.8959999999999999
