treatment,temp,predicted_p_correct
T0,0.2,0.9003148426151265
T0,0.5,0.8992128934621979
T0,0.7,0.8984722639226855
T1,0.2,0.8957882993182256
T1,0.5,0.8945292517044522
T1,0.7,0.8936824489773357
T2,0.2,0.901896143574781
T2,0.5,0.8902596410630516
T2,0.7,0.8818442153621702
T3,0.2,0.905937399817201
T3,0.5,0.8971565004570063
T3,0.7,0.890906099725804
T4,0.2,0.8890312499237252
T4,0.5,0.8834218751906979
T4,0.7,0.8795468748855862
T5,0.2,0.8564602462176204
T5,0.5,0.8448493844559579
T5,0.7,0.8366903693264303
