treatment,temp,predicted_p_correct
T0,0.2,0.909294644281284
T0,0.5,0.9058036398115769
T0,0.7,0.9034098735561306
T0,1.0,0.8997173587383744
T0,1.5,0.8932841568766339
T0,2.0,0.886490326735992
T1,0.2,0.8995301755979195
T1,0.5,0.8957064671929369
T1,0.7,0.8930863927111617
T1,1.0,0.8890476940041402
T1,1.5,0.8820197799621763
T1,2.0,0.8746094905316587
T2,0.2,0.8946391471076546
T2,0.5,0.8906519225106618
T2,0.7,0.8879207562032877
T2,1.0,0.8837123318986266
T2,1.5,0.8763934528557221
T2,2.0,0.8686823894240419
T3,0.2,0.903805014917218
T3,0.5,0.9001259358646947
T3,0.7,0.8976041954268741
T3,1.0,0.8937158482493035
T3,1.5,0.886946022586719
T3,2.0,0.8798029829551828
T4,0.2,0.88882342833215
T4,0.5,0.8846444947439228
T4,0.7,0.8817831978001095
T4,1.0,0.87737614309816
T4,1.5,0.8697172704241719
T4,2.0,0.8616554656014802
T5,0.2,0.8497368850525117
T5,0.5,0.8443460471327444
T5,0.7,0.840665214947179
T5,1.0,0.8350121133956063
T5,1.5,0.8252343140407082
T5,2.0,0.8150054254312488
