treatment,temp,predicted_p_correct
T0,0.2,0.9005197290344054
T0,0.5,0.9001945352867242
T0,0.7,0.8999772146697342
T0,1.0,0.899650445105723
T0,1.5,0.8991037212632574
T0,2.0,0.8985543546401756
T1,0.2,0.8996016141058601
T1,0.5,0.8957534265767468
T1,0.7,0.8931160690841154
T1,1.0,0.889049954614828
T1,1.5,0.8819722206403471
T1,2.0,0.8745067149781225
T2,0.2,0.8958481364071377
T2,0.5,0.8914485677200316
T2,0.7,0.8884255585923431
T2,1.0,0.8837531323653994
T2,1.5,0.8755882887033581
T2,2.0,0.8669363162117483
T3,0.2,0.9026402585880375
T3,0.5,0.899362724558343
T3,0.7,0.8971235943453854
T3,1.0,0.8936822208109783
T3,1.5,0.8877211084881134
T3,2.0,0.8814700932091588
T4,0.2,0.8862883152294497
T4,0.5,0.8829926217939211
T4,0.7,0.8807497163263478
T4,1.0,0.8773157188660652
T4,1.5,0.8714034996116303
T4,2.0,0.8652501281726082
T5,0.2,0.8605431537161015
T5,0.5,0.8515355615777689
T5,0.7,0.8452673227967237
T5,1.0,0.8354617114631709
T5,1.5,0.8180194996909703
T5,2.0,0.7991727507552995
