term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,1.5789890776145667,0.09127054152326025,4.696104347521947e-67,4.8500503076870105,4.055600706212595,5.8001242457279
C(treatment)[T.T1],0.1104488754463399,0.1306200335498083,0.3977905580078491,1.1167792527517855,0.864532491587391,1.442624668839024
C(treatment)[T.T2],-0.017955136327455937,0.1296878864001901,0.8898857066413716,0.9822050966976786,0.7617450238420939,1.2664695164177135
C(treatment)[T.T3],0.3387511481083718,0.1350526327361403,0.012131710650551995,1.4031941142514825,1.0768584804824342,1.828423843946429
C(treatment)[T.T4],0.01567359654447291,0.12972562681626262,0.9038327150832298,1.015797071614806,0.7877388662796267,1.3098803865987456
C(treatment)[T.T5],0.052489925419896416,0.12771267508753248,0.6810724430737933,1.0538919445062382,0.8205118568852859,1.3536528709181381
temp,-0.0426752535871764,0.07823127516207586,0.5854088632630392,0.958222518871005,0.8220052041158278,1.1170128742179015
C(treatment)[T.T1]:temp,-0.06387931950942427,0.11122966006964266,0.5657640443923659,0.9381182052649597,0.7543570716496018,1.1666434903633263
C(treatment)[T.T2]:temp,0.07504049413031903,0.11201638680500924,0.5029174613340748,1.0779277997496617,0.8654448524071838,1.3425792969260972
C(treatment)[T.T3]:temp,-0.1391777948237015,0.11393021038364684,0.2218567706921456,0.8700733201729255,0.6959475315623433,1.0877653100906546
C(treatment)[T.T4]:temp,0.02395031697575554,0.11145509855379926,0.8298549644466212,1.024239429314084,0.8232447983409226,1.2743067562355865
C(treatment)[T.T5]:temp,-0.1979771636856455,0.1076792074832745,0.06597653900980102,0.8203885875755962,0.6642953591885618,1.0131599224874888
