config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,100,5,0.828,0.89,0.109828,0.96
T0_temp0.5,T0,0.5,100,5,0.8320000000000001,0.83,0.15216,0.948
T0_temp0.7,T0,0.7,100,5,0.826,0.8,0.159853,0.9540000000000001
T0_temp1.0,T0,1.0,100,5,0.8059999999999999,0.79,0.20549099999999998,0.93
T0_temp1.5,T0,1.5,100,5,0.8320000000000001,0.78,0.211201,0.9259999999999999
T0_temp2.0,T0,2.0,100,5,0.8140000000000001,0.75,0.239421,0.922
T1_temp0.2,T1,0.2,100,5,0.84,0.93,0.055515,0.982
T1_temp0.5,T1,0.5,100,5,0.846,0.91,0.081426,0.972
T1_temp0.7,T1,0.7,100,5,0.826,0.89,0.10884599999999998,0.96
T1_temp1.0,T1,1.0,100,5,0.83,0.82,0.156361,0.946
T1_temp1.5,T1,1.5,100,5,0.82,0.8,0.17079899999999998,0.9420000000000001
T1_temp2.0,T1,2.0,100,5,0.816,0.76,0.222166,0.924
T2_temp0.2,T2,0.2,100,5,0.818,0.86,0.11850299999999998,0.958
T2_temp0.5,T2,0.5,100,5,0.836,0.75,0.216403,0.93
T2_temp0.7,T2,0.7,100,5,0.8420000000000001,0.84,0.143432,0.9520000000000001
T2_temp1.0,T2,1.0,100,5,0.82,0.77,0.21992899999999999,0.9259999999999999
T2_temp1.5,T2,1.5,100,5,0.836,0.72,0.24107800000000001,0.92
T2_temp2.0,T2,2.0,100,5,0.8340000000000001,0.71,0.258261,0.914
T3_temp0.2,T3,0.2,100,5,0.882,0.88,0.096592,0.968
T3_temp0.5,T3,0.5,100,5,0.856,0.83,0.149142,0.948
T3_temp0.7,T3,0.7,100,5,0.856,0.78,0.18674599999999997,0.94
T3_temp1.0,T3,1.0,100,5,0.84,0.76,0.211148,0.9279999999999999
T3_temp1.5,T3,1.5,100,5,0.826,0.75,0.225385,0.922
T3_temp2.0,T3,2.0,100,5,0.84,0.79,0.198018,0.932
T4_temp0.2,T4,0.2,100,5,0.838,0.84,0.14245,0.9520000000000001
T4_temp0.5,T4,0.5,100,5,0.826,0.78,0.199201,0.93
T4_temp0.7,T4,0.7,100,5,0.818,0.8,0.18529,0.9359999999999999
T4_temp1.0,T4,1.0,100,5,0.826,0.77,0.224456,0.924
T4_temp1.5,T4,1.5,100,5,0.848,0.76,0.217184,0.9279999999999999
T4_temp2.0,T4,2.0,100,5,0.816,0.76,0.246693,0.9179999999999999
T5_temp0.2,T5,0.2,100,5,0.804,0.75,0.22334900000000002,0.922
T5_temp0.5,T5,0.5,100,5,0.838,0.72,0.239042,0.92
T5_temp0.7,T5,0.7,100,5,0.826,0.66,0.279865,0.914
T5_temp1.0,T5,1.0,100,5,0.7979999999999999,0.64,0.34374000000000005,0.888
T5_temp1.5,T5,1.5,100,5,0.7859999999999999,0.46,0.45722699999999994,0.858
T5_temp2.0,T5,2.0,100,5,0.75,0.45,0.5338109999999999,0.8140000000000001
