term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.255982167714708,0.11095847108579199,6.732875399077452e-92,9.54466316801898,7.679109303956864,11.86343251345519
C(treatment)[T.T1],-0.17040798155820255,0.15331296574233033,0.26635144994267623,0.8433206871139226,0.6244391485644646,1.1389256790661935
C(treatment)[T.T2],-0.9784771026254592,0.13615144636330323,6.638494593721445e-13,0.3758830945733195,0.2878447699174422,0.4908482472220649
C(treatment)[T.T3],-0.05539110594986657,0.15663267414811075,0.72361095643433,0.9461150443602353,0.6960100721446961,1.2860929934627117
C(treatment)[T.T4],-0.4416681648820644,0.14513428502182465,0.002341007792675832,0.6429629577485723,0.4837769316507117,0.8545288912933725
C(treatment)[T.T5],-0.2975001928138058,0.15094354766072104,0.04873110520145206,0.7426724400232688,0.5524736460257348,0.9983505224870464
temp,-0.08863234499378056,0.08157259033983025,0.2772376460219458,0.9151819829670036,0.7799584561525282,1.0738495817828848
C(treatment)[T.T1]:temp,0.08222241520632614,0.11361542852633581,0.4692557184908168,1.0856972585573892,0.8689550990710003,1.3565010879149215
C(treatment)[T.T2]:temp,-0.030289631618665394,0.10017038919086868,0.7623615673127677,0.9701645025374978,0.7972208041706473,1.180625439100257
C(treatment)[T.T3]:temp,0.07637336666737311,0.1160447863286531,0.510450107321238,1.0793654980323089,0.8597837158716567,1.3550266850092827
C(treatment)[T.T4]:temp,-0.0172894439693474,0.10666623324689854,0.8712356141664515,0.9828591608032301,0.7974347537630763,1.2113995852528883
C(treatment)[T.T5]:temp,-0.035418858825992966,0.1185905610178603,0.7651956073358612,0.9652010485989337,0.7650176615558436,1.2177667406028596
