treatment,temp,predicted_p_correct
T0,0.2,0.9030827311602471
T0,0.5,0.9008988818372636
T0,0.7,0.8994187499787915
T0,1.0,0.8971617412982533
T0,1.5,0.8933003629662872
T0,2.0,0.8893118852594448
T1,0.2,0.8965429440464331
T1,0.5,0.8942289921980463
T1,0.7,0.8926611109272019
T1,1.0,0.8902709631103454
T1,1.5,0.8861836732095544
T1,2.0,0.881964321649474
T2,0.2,0.7715871916652011
T2,0.5,0.7672041374234014
T2,0.7,0.7642497294551657
T2,1.0,0.759769712761765
T2,1.5,0.7521745596827273
T2,2.0,0.7444200546645676
T3,0.2,0.9061531426485593
T3,0.5,0.9040311270423319
T3,0.7,0.9025927188919464
T3,1.0,0.9003990458269088
T3,1.5,0.8966452187178486
T3,2.0,0.8927667640773218
T4,0.2,0.8543989283568028
T4,0.5,0.8512987120001885
T4,0.7,0.84920177425084
T4,1.0,0.8460108417616489
T4,1.5,0.8405701485458017
T4,2.0,0.8349747232695227
T5,0.2,0.8698733998367248
T5,0.5,0.867051403898585
T5,0.7,0.8651414153068967
T5,1.0,0.8622330515799893
T5,1.5,0.8572688181330317
T5,2.0,0.8521563773480186
