treatment,temp,predicted_p_correct
T0,0.2,0.9036326702750946
T0,0.5,0.90129224043721
T0,0.7,0.8997039566586859
T0,1.0,0.8972789582778137
T0,1.5,0.8931218527677116
T0,2.0,0.8888173562606753
T1,0.2,0.8893670633233551
T1,0.5,0.8891777133828123
T1,0.7,0.8890513225380203
T1,1.0,0.8888614997320724
T1,1.5,0.8885444969122646
T1,2.0,0.888226703599619
T2,0.2,0.777943262356392
T2,0.5,0.7717191601197806
T2,0.7,0.7675020390752518
T2,1.0,0.7610751593080464
T2,1.5,0.7500955774730277
T2,2.0,0.7387846120972857
T3,0.2,0.9000822918743833
T3,0.5,0.8997510545973331
T3,0.7,0.8995296879965342
T3,1.0,0.899196823946624
T3,1.5,0.8986398743880128
T3,2.0,0.8980801964045609
T4,0.2,0.8573105516855853
T4,0.5,0.853379046480367
T4,0.7,0.8507084986573854
T4,1.0,0.846627630682616
T4,1.5,0.839623758308203
T4,2.0,0.8323633779388343
T5,0.2,0.8736552686349682
T5,0.5,0.8694899310404747
T5,0.7,0.866648633805873
T5,1.0,0.8622887121738135
T5,1.5,0.8547565223985527
T5,2.0,0.8468855093706954
