term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.3301054051861336,0.3397198458823241,6.939142675095646e-12,10.279024938481081,5.281734287126483,20.00448109315988
C(treatment)[T.T1],0.012997084807031323,0.4850046008693941,0.9786209610433565,1.013081914026232,0.3915617955776477,2.621131520282675
C(treatment)[T.T2],-0.44707053396883956,0.449344689631287,0.3197659572981597,0.6394988002955442,0.2650634293375694,1.54287114069823
C(treatment)[T.T3],-0.3503820116958358,0.4585182074498859,0.44477094089928737,0.7044189420385787,0.28676916261582974,1.7303326528434746
C(treatment)[T.T4],-0.12908899194050494,0.46923471157117824,0.7832352811385846,0.8788957474271787,0.3503617710978328,2.2047432070717634
C(treatment)[T.T5],-0.2941459544215359,0.46913705769083713,0.5306634000138013,0.7451677229819077,0.2971094803205004,1.868923653244085
temp,-0.43235100776638635,0.6506176130735154,0.5063550041873616,0.6489815391406332,0.1813073667005943,2.323000139541294
C(treatment)[T.T1]:temp,0.12320311072554285,0.9318757041469491,0.8948183411838637,1.1311141390310466,0.18208652925854407,7.026435182908577
C(treatment)[T.T2]:temp,0.2586440830362271,0.8661196576097155,0.7652269808230716,1.2951727488317648,0.23717655772886304,7.072673899054108
C(treatment)[T.T3]:temp,0.3600712118762357,0.8861240932172681,0.6844898573491578,1.433431488271602,0.2524020539096892,8.140685861073583
C(treatment)[T.T4]:temp,0.02511086496764492,0.89950849228195,0.9777289824313907,1.0254287983534196,0.1758848463987596,5.978367335345121
C(treatment)[T.T5]:temp,0.6250132729213749,0.9137213897984797,0.49395592454919035,1.86827075467849,0.3116480879220536,11.199926288846438
