treatment,temp,predicted_p_correct
T0,0.2,0.8966057004763686
T0,0.5,0.8929478594161643
T0,0.7,0.8904464401074214
T1,0.2,0.8875219914119619
T1,0.5,0.8835845160422618
T1,0.7,0.8808934925457469
T2,0.2,0.8790818197251423
T2,0.5,0.8748905322036343
T2,0.7,0.8720276480711896
T3,0.2,0.8862238356426169
T3,0.5,0.8822469455663162
T3,0.7,0.879529218791039
T4,0.2,0.8777828787391823
T4,0.5,0.8735530433548236
T4,0.7,0.870664077905969
T5,0.2,0.8374557414334036
T5,0.5,0.8320971848448889
T5,0.7,0.8284470737216716
