term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2455549837863504,0.16715617601845956,3.828481321483669e-41,9.445656288156645,6.806846056836658,13.107454167320558
C(treatment)[T.T1],-0.2575919979954463,0.13815018690919909,0.06224037710853436,0.772910516824361,0.5895673216001457,1.0132696388197395
C(treatment)[T.T2],-0.16403170028853356,0.18072894732527484,0.3640834305635652,0.848715116939672,0.5955556539457703,1.2094878874032338
C(treatment)[T.T3],-0.2794955738195561,0.15504522973999663,0.07143986426076716,0.7561650747308276,0.5580067476507071,1.0246930214553536
C(treatment)[T.T4],-0.3354413287858812,0.1619922551912808,0.038384550956323635,0.7150224567167603,0.5205100155398296,0.9822233931061598
C(treatment)[T.T5],-0.4429465359246823,0.16981796095226775,0.009097696886042098,0.6421415376735954,0.4603400887054375,0.8957415713356681
temp,-0.25547713662759053,0.21012426551537777,0.2240465132680941,0.7745468451110495,0.5130814384283412,1.1692545672849701
C(treatment)[T.T1]:temp,0.34770980321122513,0.26157133798849,0.18374520215626378,1.4158213233166377,0.8479191249613602,2.3640816211680833
C(treatment)[T.T2]:temp,-0.025902022722946894,0.3366848153441843,0.9386771999690003,0.9744305569845069,0.5036849725527639,1.8851364684811382
C(treatment)[T.T3]:temp,0.3670571270464481,0.28956186842423254,0.2049303406354982,1.4434803785304553,0.8183344727459263,2.546190674591496
C(treatment)[T.T4]:temp,0.31276999906506475,0.30708413949799895,0.30843297175804174,1.3672070359653905,0.7489261380964636,2.495913794575699
C(treatment)[T.T5]:temp,-0.16345768790629683,0.3049616828637945,0.5919625710420079,0.849202429774207,0.46711369798062613,1.5438313409604336
