treatment,temp,predicted_p_correct
T0,0.2,0.8997508727431107
T0,0.5,0.892622818142201
T0,0.7,0.8876263091146683
T1,0.2,0.8814683955690562
T1,0.5,0.884329011077332
T1,0.7,0.8862025933535861
T2,0.2,0.8834225176004682
T2,0.5,0.8744437059988095
T2,0.7,0.868133776400704
T3,0.2,0.8795711575226904
T3,0.5,0.8830721061932413
T3,0.7,0.8853567362840404
T4,0.2,0.8723136549074232
T4,0.5,0.8742158627314164
T4,0.7,0.8754704823611411
T5,0.2,0.8479769736195729
T5,0.5,0.8310575659510281
T5,0.7,0.8189654604293631
