config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,500,414,0.828,0.89,0.96,0.1098
T0_temp0.5,500,416,0.832,0.83,0.948,0.1522
T0_temp0.7,500,413,0.826,0.8,0.954,0.1599
T1_temp0.2,500,420,0.84,0.93,0.982,0.0555
T1_temp0.5,500,423,0.846,0.91,0.972,0.0814
T1_temp0.7,500,413,0.826,0.89,0.96,0.1088
T2_temp0.2,500,409,0.818,0.86,0.958,0.1185
T2_temp0.5,500,418,0.836,0.75,0.93,0.2164
T2_temp0.7,500,421,0.842,0.84,0.952,0.1434
T3_temp0.2,500,441,0.882,0.88,0.968,0.0966
T3_temp0.5,500,428,0.856,0.83,0.948,0.1491
T3_temp0.7,500,428,0.856,0.78,0.94,0.1867
T4_temp0.2,500,419,0.838,0.84,0.952,0.1424
T4_temp0.5,500,413,0.826,0.78,0.93,0.1992
T4_temp0.7,500,409,0.818,0.8,0.936,0.1853
T5_temp0.2,500,402,0.804,0.75,0.922,0.2233
T5_temp0.5,500,419,0.838,0.72,0.92,0.239
T5_temp0.7,500,413,0.826,0.66,0.914,0.2799
T0_temp1.0,500,403,0.806,0.79,0.93,0.2055
T0_temp1.5,500,416,0.832,0.78,0.926,0.2112
T0_temp2.0,500,407,0.814,0.75,0.922,0.2394
T1_temp1.0,500,415,0.83,0.82,0.946,0.1564
T1_temp1.5,500,410,0.82,0.8,0.942,0.1708
T1_temp2.0,500,408,0.816,0.76,0.924,0.2222
T2_temp1.0,500,410,0.82,0.77,0.926,0.2199
T2_temp1.5,500,418,0.836,0.72,0.92,0.2411
T2_temp2.0,500,417,0.834,0.71,0.914,0.2583
T3_temp1.0,500,420,0.84,0.76,0.928,0.2111
T3_temp1.5,500,413,0.826,0.75,0.922,0.2254
T3_temp2.0,500,420,0.84,0.79,0.932,0.198
T4_temp1.0,500,413,0.826,0.77,0.924,0.2245
T4_temp1.5,500,424,0.848,0.76,0.928,0.2172
T4_temp2.0,500,408,0.816,0.76,0.918,0.2467
T5_temp1.0,500,399,0.798,0.64,0.888,0.3437
T5_temp1.5,500,393,0.786,0.46,0.858,0.4572
T5_temp2.0,500,375,0.75,0.45,0.814,0.5338
