term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,1.5789890776145323,0.09127054152325849,4.6961043475254305e-67,4.8500503076868435,4.055600706212469,5.80012424572768
C(treatment)[T.T1],0.11044887544633905,0.1306200335498051,0.39779055800784113,1.1167792527517846,0.8645324915873956,1.4426246688390136
C(treatment)[T.T2],-0.017955136327459875,0.12968788640019188,0.889885706641349,0.9822050966976748,0.7617450238420882,1.2664695164177129
C(treatment)[T.T3],0.33875114810837714,0.13505263273614307,0.012131710650552423,1.40319411425149,1.076858480482434,1.828423843946449
C(treatment)[T.T4],0.015673596544468385,0.12972562681626398,0.9038327150832585,1.0157970716148013,0.7877388662796211,1.3098803865987432
C(treatment)[T.T5],0.052489925419891156,0.12771267508753092,0.6810724430738199,1.0538919445062327,0.8205118568852842,1.3536528709181268
temp,-0.042675253587178934,0.07823127516207604,0.5854088632630179,0.9582225188710026,0.8220052041158254,1.117012874217899
C(treatment)[T.T1]:temp,-0.06387931950942197,0.11122966006964362,0.5657640443923833,0.9381182052649619,0.754357071649602,1.1666434903633311
C(treatment)[T.T2]:temp,0.07504049413031787,0.11201638680500894,0.5029174613340803,1.0779277997496606,0.8654448524071833,1.3425792969260948
C(treatment)[T.T3]:temp,-0.1391777948237064,0.11393021038364864,0.22185677069213683,0.8700733201729212,0.6959475315623376,1.087765310090653
C(treatment)[T.T4]:temp,0.02395031697576204,0.11145509855380006,0.8298549644465769,1.0242394293140906,0.8232447983409266,1.274306756235597
C(treatment)[T.T5]:temp,-0.1979771636856372,0.10767920748327403,0.06597653900981117,0.820388587575603,0.6642953591885679,1.013159922487496
