treatment,temp,predicted_p_correct
T0,0.2,0.8278483237576605
T0,0.5,0.826016093125073
T0,0.7,0.8247860759193094
T0,1.0,0.8229282246250758
T0,1.5,0.8197975084566762
T0,2.0,0.8166237741161232
T1,0.2,0.8413259469741522
T1,0.5,0.8370118414319131
T1,0.7,0.8340836223901412
T1,1.0,0.8296124873567275
T1,1.5,0.8219486736693733
T1,2.0,0.8140174281776343
T2,0.2,0.8274279194210223
T2,0.5,0.8288099539268273
T2,0.7,0.8297264221631314
T2,1.0,0.8310938068143316
T2,1.5,0.8333533170508749
T2,2.0,0.8355885806237383
T3,0.2,0.8677683641857246
T3,0.5,0.861381710302164
T3,0.7,0.8569815922813742
T3,1.0,0.8501639067412505
T3,1.5,0.8382088046101895
T3,2.0,0.8254956218790662
T4,0.2,0.830745176003057
T4,0.5,0.8299538471512975
T4,0.7,0.8294246620912956
T4,1.0,0.8286284329396518
T4,1.5,0.8272948376182633
T4,2.0,0.8259530441963577
T5,0.2,0.8296782273698597
T5,0.5,0.8192319880814098
T5,0.7,0.8119944941874152
T5,1.0,0.8007241700725046
T5,1.5,0.7808283921913618
T5,2.0,0.7595427280965684
