treatment,temp,predicted_p_correct
T0,0.2,0.8337450918496212
T0,0.5,0.829751754433201
T0,0.7,0.8270474136769304
T0,1.0,0.8229273690526404
T0,1.5,0.8158901266619687
T0,2.0,0.8086382443255685
T1,0.2,0.8400887416410586
T1,0.5,0.8362178427857717
T1,0.7,0.833595615278204
T1,1.0,0.8295994213204623
T1,1.5,0.8227702339395581
T1,2.0,0.8157281450348796
T2,0.2,0.8413567002513179
T2,0.5,0.8375105576907125
T2,0.7,0.8349049409273652
T2,1.0,0.8309338131560562
T2,1.5,0.8241467684473643
T2,2.0,0.8171472195271039
T3,0.2,0.8593971961032978
T3,0.5,0.8559135243839244
T3,0.7,0.8535514081626678
T3,1.0,0.8499481862969601
T3,1.5,0.8437809532563951
T3,2.0,0.8374087317967011
T4,0.2,0.8391376039800306
T4,0.5,0.8352481966129097
T4,0.7,0.8326135521737019
T4,1.0,0.8285986233252226
T4,1.5,0.8217379452711832
T4,2.0,0.8146640786368893
T5,0.2,0.81212855707228
T5,0.5,0.8077357369348561
T5,0.7,0.8047639651858907
T5,1.0,0.8002413015047036
T5,1.5,0.7925297693023126
T5,2.0,0.7846006699996396
