treatment,temp,predicted_p_correct
T0,0.2,0.8337450918496312
T0,0.5,0.8297517544332109
T0,0.7,0.8270474136769399
T0,1.0,0.8229273690526497
T0,1.5,0.8158901266619774
T0,2.0,0.8086382443255766
T1,0.2,0.8400887416410684
T1,0.5,0.8362178427857813
T1,0.7,0.8335956152782132
T1,1.0,0.8295994213204715
T1,1.5,0.8227702339395666
T1,2.0,0.8157281450348874
T2,0.2,0.8413567002513299
T2,0.5,0.8375105576907244
T2,0.7,0.8349049409273769
T2,1.0,0.8309338131560675
T2,1.5,0.8241467684473752
T2,2.0,0.8171472195271142
T3,0.2,0.8593971961033056
T3,0.5,0.8559135243839319
T3,0.7,0.853551408162675
T3,1.0,0.8499481862969673
T3,1.5,0.8437809532564018
T3,2.0,0.8374087317967072
T4,0.2,0.8391376039800401
T4,0.5,0.835248196612919
T4,0.7,0.8326135521737108
T4,1.0,0.8285986233252314
T4,1.5,0.8217379452711913
T4,2.0,0.8146640786368968
T5,0.2,0.8121285570722951
T5,0.5,0.8077357369348711
T5,0.7,0.8047639651859054
T5,1.0,0.8002413015047181
T5,1.5,0.7925297693023264
T5,2.0,0.7846006699996529
