treatment,temp,predicted_p_correct
T0,0.2,0.8278483237576728
T0,0.5,0.8260160931250844
T0,0.7,0.8247860759193203
T0,1.0,0.822928224625086
T0,1.5,0.8197975084566851
T0,2.0,0.8166237741161306
T1,0.2,0.8413259469741583
T1,0.5,0.8370118414319189
T1,0.7,0.834083622390147
T1,1.0,0.8296124873567329
T1,1.5,0.8219486736693782
T1,2.0,0.8140174281776384
T2,0.2,0.8274279194210326
T2,0.5,0.8288099539268368
T2,0.7,0.8297264221631403
T2,1.0,0.8310938068143398
T2,1.5,0.8333533170508819
T2,2.0,0.8355885806237441
T3,0.2,0.8677683641857327
T3,0.5,0.8613817103021718
T3,0.7,0.8569815922813817
T3,1.0,0.8501639067412574
T3,1.5,0.8382088046101956
T3,2.0,0.8254956218790711
T4,0.2,0.8307451760030689
T4,0.5,0.8299538471513084
T4,0.7,0.8294246620913057
T4,1.0,0.828628432939661
T4,1.5,0.8272948376182707
T4,2.0,0.8259530441963635
T5,0.2,0.8296782273698732
T5,0.5,0.8192319880814226
T5,0.7,0.8119944941874276
T5,1.0,0.8007241700725165
T5,1.5,0.7808283921913722
T5,2.0,0.7595427280965772
