treatment,temp,predicted_p_correct
T0,0.2,0.9005197290343996
T0,0.5,0.9001945352867193
T0,0.7,0.8999772146697299
T0,1.0,0.8996504451057198
T0,1.5,0.899103721263256
T0,2.0,0.8985543546401756
T1,0.2,0.8996016141058538
T1,0.5,0.8957534265767418
T1,0.7,0.8931160690841115
T1,1.0,0.8890499546148256
T1,1.5,0.8819722206403476
T1,2.0,0.8745067149781259
T2,0.2,0.8958481364071315
T2,0.5,0.8914485677200258
T2,0.7,0.8884255585923376
T2,1.0,0.8837531323653948
T2,1.5,0.8755882887033547
T2,2.0,0.8669363162117462
T3,0.2,0.9026402585880312
T3,0.5,0.8993627245583374
T3,0.7,0.8971235943453801
T3,1.0,0.893682220810974
T3,1.5,0.8877211084881104
T3,2.0,0.8814700932091575
T4,0.2,0.8862883152294394
T4,0.5,0.8829926217939128
T4,0.7,0.8807497163263407
T4,1.0,0.8773157188660602
T4,1.5,0.871403499611629
T4,2.0,0.8652501281726107
T5,0.2,0.8605431537160911
T5,0.5,0.8515355615777602
T5,0.7,0.8452673227967161
T5,1.0,0.8354617114631656
T5,1.5,0.8180194996909689
T5,2.0,0.7991727507553024
