term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2054292497896815,0.11555894774844311,3.3721696814066846e-81,9.074145807175181,7.235024252623682,11.380766567577906
C(treatment)[T.T1],0.015309763300541524,0.16139515262082402,0.9244269187539778,1.0154275580957917,0.740059466530502,1.3932571264499662
C(treatment)[T.T2],-0.022643606570660828,0.15996830268255363,0.8874350024999916,0.9776108357727282,0.7144934279047145,1.3376231451462814
C(treatment)[T.T3],0.045980438981431594,0.1626959954042608,0.7774714611097149,1.0470539293152634,0.761166075251261,1.4403189613155538
C(treatment)[T.T4],-0.13052224003271834,0.15768939469886448,0.40783061926903386,0.8776369740566711,0.6442983049745988,1.1954814288417484
C(treatment)[T.T5],-0.3368788594564841,0.150587436171984,0.02527993254848635,0.7139953284461356,0.5315116117257869,0.9591311230015259
temp,-0.012082595936643181,0.09959316456068648,0.9034379514042459,0.9879901055235998,0.8127878110843932,1.2009585223851014
C(treatment)[T.T1]:temp,-0.1275830497389358,0.13711697705256315,0.35212848407148134,0.880220310731571,0.6727830763065902,1.1516160597822607
C(treatment)[T.T2]:temp,-0.1422413847014995,0.13576215072816003,0.2947653756561225,0.867411851262528,0.6647560151706915,1.1318488325637626
C(treatment)[T.T3]:temp,-0.11040936475483928,0.13842906411926786,0.42510959871667,0.8954674874268338,0.6826791261721912,1.174581132331669
C(treatment)[T.T4]:temp,-0.09557172291756125,0.13456045786580148,0.47754839308300046,0.908853173714711,0.6981577350278,1.1831339107607415
C(treatment)[T.T5]:temp,-0.23162657468949316,0.12744534374620628,0.069146995566501,0.7932422847526431,0.6179056837688767,1.0183323100082595
