term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2054292497897237,0.304722623805447,4.570389281917289e-13,9.074145807175563,4.993678972394386,16.488869746146527
C(treatment)[T.T1],0.015309763300542047,0.22235489273043155,0.9451067667443388,1.015427558095792,0.6567145521959405,1.5700780838380775
C(treatment)[T.T2],-0.022643606570667253,0.11778898451837706,0.8475551976520038,0.9776108357727219,0.7760719715734149,1.2314875182034974
C(treatment)[T.T3],0.04598043898142196,0.12584989040459013,0.7148431523028692,1.0470539293152534,0.8181698312928258,1.3399686580500842
C(treatment)[T.T4],-0.13052224003271817,0.10974319325847946,0.23430493121221496,0.8776369740566713,0.7077821723360868,1.0882538277124088
C(treatment)[T.T5],-0.3368788594564875,0.18444239457574343,0.06777920319164521,0.7139953284461331,0.4973874630854941,1.0249340139787073
temp,-0.012082595936644666,0.05961294836487649,0.8393819627548238,0.9879901055235982,0.8790407923172817,1.1104427202284006
C(treatment)[T.T1]:temp,-0.1275830497389347,0.09041729216208358,0.15823075313406,0.880220310731572,0.7372701190235074,1.050887287349403
C(treatment)[T.T2]:temp,-0.14224138470149583,0.07917799027931975,0.07241879528016913,0.8674118512625312,0.7427243896716998,1.0130316577368221
C(treatment)[T.T3]:temp,-0.1104093647548397,0.08356525391348854,0.1864229138032817,0.8954674874268335,0.7601821051039248,1.0548288569998674
C(treatment)[T.T4]:temp,-0.09557172291756416,0.089502259329017,0.28560463648692525,0.9088531737147083,0.7626194315672263,1.08312751705499
C(treatment)[T.T5]:temp,-0.2316265746894816,0.09958076175440363,0.020017627735246433,0.7932422847526522,0.6525908813457764,0.9642079598507407
