term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2559821677147394,0.30336633888010317,1.033921221432286e-13,9.544663168019282,5.26659552577709,17.29781498219419
C(treatment)[T.T1],-0.17040798155821862,0.23141238631418964,0.46149808307694895,0.8433206871139091,0.5358096783165354,1.3273179080093673
C(treatment)[T.T2],-0.9784771026254484,0.2543105082070102,0.0001192959240252146,0.37588309457332353,0.2283385920650994,0.6187657526842277
C(treatment)[T.T3],-0.055391105949881926,0.11212499570812091,0.6212976255343156,0.9461150443602208,0.7594535651403057,1.1786549148654937
C(treatment)[T.T4],-0.44166816488208693,0.20654362420265904,0.03248614610969139,0.6429629577485578,0.42891622093587656,0.9638277706885273
C(treatment)[T.T5],-0.29750019281381956,0.20711312440765037,0.1508845699328071,0.7426724400232586,0.4948790366638493,1.114539740637173
temp,-0.08863234499377826,0.0679061297891046,0.1918184156902487,0.9151819829670057,0.8011329550323536,1.0454669935698704
C(treatment)[T.T1]:temp,0.08222241520633038,0.06822615980565933,0.22814733126593045,1.0856972585573939,0.9498028350188962,1.2410349746066924
C(treatment)[T.T2]:temp,-0.03028963161866593,0.08723813753719527,0.7284363324687635,0.9701645025374973,0.8176864071773098,1.1510759549409173
C(treatment)[T.T3]:temp,0.07637336666736216,0.06663534676894674,0.2517376617526098,1.079365498032297,0.9472124101561017,1.2299563074247626
C(treatment)[T.T4]:temp,-0.017289443969348353,0.09502188577522395,0.8556202153304103,0.9828591608032291,0.815843819434474,1.1840650219602662
C(treatment)[T.T5]:temp,-0.035418858825999544,0.10402578576710883,0.7334939288154676,0.9652010485989274,0.7871712947358038,1.1834947113120324
