config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,100,5,0.9,0.92,0.07020699999999999,0.9740000000000001
T0_temp0.5,T0,0.5,100,5,0.9059999999999999,0.91,0.067462,0.98
T0_temp0.7,T0,0.7,100,5,0.912,0.89,0.100846,0.9640000000000001
T0_temp1.0,T0,1.0,100,5,0.884,0.87,0.11279299999999999,0.9620000000000001
T0_temp1.5,T0,1.5,100,10,0.89,0.79,0.157385,0.95
T0_temp2.0,T0,2.0,100,10,0.892,0.84,0.127088,0.9620000000000001
T1_temp0.2,T1,0.2,100,5,0.89,0.97,0.026639,0.99
T1_temp0.5,T1,0.5,100,5,0.89,0.95,0.038586,0.988
T1_temp0.7,T1,0.7,100,5,0.8859999999999999,0.93,0.060496999999999995,0.978
T1_temp1.0,T1,1.0,100,5,0.892,0.93,0.058006,0.98
T1_temp1.5,T1,1.5,100,10,0.887,0.9,0.083645,0.9670000000000001
T1_temp2.0,T1,2.0,100,10,0.889,0.89,0.089387,0.968
T2_temp0.2,T2,0.2,100,5,0.7759999999999999,0.67,0.37408299999999994,0.87
T2_temp0.5,T2,0.5,100,5,0.778,0.53,0.448131,0.85
T2_temp0.7,T2,0.7,100,5,0.77,0.54,0.46536700000000003,0.838
T2_temp1.0,T2,1.0,100,5,0.7440000000000001,0.44,0.554084,0.812
T2_temp1.5,T2,1.5,100,10,0.758,0.32,0.6674899999999999,0.8
T2_temp2.0,T2,2.0,100,10,0.736,0.27,0.724725,0.7879999999999999
T3_temp0.2,T3,0.2,100,5,0.902,0.93,0.050533,0.986
T3_temp0.5,T3,0.5,100,5,0.9,0.94,0.048296,0.9840000000000001
T3_temp0.7,T3,0.7,100,5,0.898,0.91,0.074935,0.9740000000000001
T3_temp1.0,T3,1.0,100,5,0.89,0.91,0.069953,0.978
T3_temp1.5,T3,1.5,100,10,0.9059999999999999,0.89,0.081831,0.976
T3_temp2.0,T3,2.0,100,10,0.895,0.87,0.082758,0.977
T4_temp0.2,T4,0.2,100,5,0.862,0.8,0.20928999999999998,0.932
T4_temp0.5,T4,0.5,100,5,0.8540000000000001,0.73,0.245332,0.92
T4_temp0.7,T4,0.7,100,5,0.836,0.73,0.247823,0.9179999999999999
T4_temp1.0,T4,1.0,100,5,0.852,0.72,0.287042,0.904
T4_temp1.5,T4,1.5,100,10,0.8440000000000001,0.58,0.384461,0.888
T4_temp2.0,T4,2.0,100,10,0.83,0.49,0.422348,0.8740000000000001
T5_temp0.2,T5,0.2,100,5,0.87,0.82,0.178397,0.9420000000000001
T5_temp0.5,T5,0.5,100,5,0.872,0.78,0.192255,0.934
T5_temp0.7,T5,0.7,100,5,0.858,0.74,0.232604,0.924
T5_temp1.0,T5,1.0,100,5,0.8795000000000001,0.79,0.204876,0.9275
T5_temp1.5,T5,1.5,100,5,0.848,0.71,0.262788,0.92
T5_temp2.0,T5,2.0,100,5,0.846,0.73,0.25235,0.92
