term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2559821677146674,0.11095847108579096,6.732875399101815e-92,9.544663168018594,7.679109303956567,11.86343251345469
C(treatment)[T.T1],-0.17040798155817555,0.1533129657423335,0.26635144994276205,0.8433206871139454,0.6244391485644776,1.1389256790662312
C(treatment)[T.T2],-0.978477102625437,0.13615144636330268,6.638494593727981e-13,0.3758830945733278,0.28784476991744884,0.49084824722207526
C(treatment)[T.T3],-0.055391105949856856,0.15663267414810708,0.7236109564343703,0.9461150443602445,0.6960100721447079,1.2860929934627148
C(treatment)[T.T4],-0.4416681648820534,0.14513428502182152,0.0023410077926759093,0.6429629577485794,0.48377693165071994,0.8545288912933767
C(treatment)[T.T5],-0.29750019281380125,0.1509435476607209,0.048731105201455266,0.7426724400232723,0.5524736460257375,0.9983505224870507
temp,-0.08863234499376949,0.0815725903398313,0.27723764602201195,0.9151819829670138,0.7799584561525352,1.0738495817828988
C(treatment)[T.T1]:temp,0.08222241520631325,0.1136154285263359,0.46925571849088676,1.0856972585573752,0.868955099070989,1.3565010879149042
C(treatment)[T.T2]:temp,-0.030289631618670522,0.10017038919087193,0.7623615673127362,0.9701645025374928,0.7972208041706381,1.1806254391002586
C(treatment)[T.T3]:temp,0.07637336666736508,0.11604478632865285,0.5104501073212815,1.0793654980323002,0.8597837158716503,1.3550266850092711
C(treatment)[T.T4]:temp,-0.017289443969352572,0.10666623324689736,0.8712356141664119,0.982859160803225,0.797434753763074,1.2113995852528792
C(treatment)[T.T5]:temp,-0.03541885882599681,0.1185905610178607,0.7651956073358374,0.96520104859893,0.7650176615558401,1.2177667406028558
