treatment,temp,predicted_p_correct
T0,0.2,0.9030827311602659
T0,0.5,0.9008988818372826
T0,0.7,0.8994187499788103
T0,1.0,0.8971617412982723
T0,1.5,0.893300362966306
T0,2.0,0.8893118852594635
T1,0.2,0.8965429440464592
T1,0.5,0.8942289921980726
T1,0.7,0.8926611109272282
T1,1.0,0.8902709631103718
T1,1.5,0.8861836732095809
T1,2.0,0.8819643216495007
T2,0.2,0.7715871916652577
T2,0.5,0.7672041374234582
T2,0.7,0.7642497294552224
T2,1.0,0.7597697127618216
T2,1.5,0.7521745596827838
T2,2.0,0.7444200546646238
T3,0.2,0.9061531426485715
T3,0.5,0.904031127042344
T3,0.7,0.9025927188919584
T3,1.0,0.9003990458269207
T3,1.5,0.8966452187178603
T3,2.0,0.8927667640773331
T4,0.2,0.8543989283568352
T4,0.5,0.8512987120002209
T4,0.7,0.8492017742508723
T4,1.0,0.8460108417616813
T4,1.5,0.8405701485458342
T4,2.0,0.8349747232695549
T5,0.2,0.8698733998367472
T5,0.5,0.8670514038986072
T5,0.7,0.8651414153069188
T5,1.0,0.8622330515800115
T5,1.5,0.8572688181330536
T5,2.0,0.8521563773480402
