term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2559821677148477,0.30336633888072995,1.0339212215496943e-13,9.544663168020316,5.266595525771191,17.297814982217318
C(treatment)[T.T1],-0.17040798155824866,0.23141238631443298,0.4614980830773411,0.8433206871138837,0.5358096783162637,1.3273179080099604
C(treatment)[T.T2],-0.9784771026256351,0.25431050820754264,0.00011929592402877876,0.3758830945732533,0.2283385920648185,0.618765752684758
C(treatment)[T.T3],-0.055391105949885854,0.11212499570845817,0.6212976255353402,0.9461150443602171,0.7594535651398007,1.1786549148662682
C(treatment)[T.T4],-0.44166816488209837,0.2065436242030846,0.03248614611004422,0.6429629577485505,0.42891622093551385,0.9638277706893202
C(treatment)[T.T5],-0.2975001928138137,0.20711312440807686,0.15088456993365634,0.7426724400232629,0.4948790366634386,1.1145397406381112
temp,-0.08863234499378785,0.06790612978938466,0.19181841569203317,0.9151819829669969,0.8011329550319061,1.0454669935704342
C(treatment)[T.T1]:temp,0.08222241520634375,0.06822615980575118,0.2281473312664808,1.0856972585574083,0.9498028350187379,1.2410349746069325
C(treatment)[T.T2]:temp,-0.030289631618673006,0.08723813753737517,0.7284363324692404,0.9701645025374904,0.8176864071770157,1.151075954941315
C(treatment)[T.T3]:temp,0.07637336666739068,0.0666353467693631,0.25173766175539547,1.0793654980323277,0.9472124101553557,1.2299563074258013
C(treatment)[T.T4]:temp,-0.01728944396933827,0.09502188577528431,0.8556202153305843,0.9828591608032391,0.8158438194343858,1.184065021960418
C(treatment)[T.T5]:temp,-0.03541885882597509,0.10402578576730899,0.7334939288161378,0.965201048598951,0.7871712947355142,1.1834947113125258
