treatment,temp,predicted_p_correct
T0,0.2,0.9036326702751039
T0,0.5,0.9012922404372192
T0,0.7,0.8997039566586951
T0,1.0,0.8972789582778228
T0,1.5,0.8931218527677206
T0,2.0,0.888817356260684
T1,0.2,0.8893670633233628
T1,0.5,0.8891777133828201
T1,0.7,0.8890513225380284
T1,1.0,0.8888614997320805
T1,1.5,0.8885444969122729
T1,2.0,0.8882267035996274
T2,0.2,0.7779432623563779
T2,0.5,0.7717191601197653
T2,0.7,0.7675020390752357
T2,1.0,0.7610751593080292
T2,1.5,0.7500955774730083
T2,2.0,0.7387846120972642
T3,0.2,0.9000822918743929
T3,0.5,0.8997510545973433
T3,0.7,0.8995296879965449
T3,1.0,0.8991968239466352
T3,1.5,0.8986398743880248
T3,2.0,0.8980801964045738
T4,0.2,0.8573105516855972
T4,0.5,0.8533790464803791
T4,0.7,0.8507084986573977
T4,1.0,0.8466276306826286
T4,1.5,0.8396237583082162
T4,2.0,0.832363377938848
T5,0.2,0.8736552686349811
T5,0.5,0.8694899310404884
T5,0.7,0.8666486338058874
T5,1.0,0.8622887121738289
T5,1.5,0.8547565223985698
T5,2.0,0.846885509370714
