config_id,question_id,k_runs,mode_answer,strict_stable,mode_freq,answer_entropy_bits,accuracy_over_runs
T0_temp0.2,EXAM_Q06,3,A,True,1.0,-0.0,0.0
T0_temp0.2,EXAM_Q08,3,A,True,1.0,-0.0,0.0
T0_temp0.2,EXAM_Q09,3,,False,0.6667,0.9183,0.0
T0_temp0.2,EXAM_Q10,3,A,False,0.6667,0.9183,0.6667
T0_temp0.2,EXAM_Q11,3,A,True,1.0,-0.0,0.0
T0_temp0.2,EXAM_Q12,3,A,True,1.0,-0.0,1.0
T0_temp0.2,EXAM_Q13,3,A,True,1.0,-0.0,1.0
T0_temp0.2,EXAM_Q14,3,E,True,1.0,-0.0,0.0
T0_temp0.2,EXAM_Q15,3,A,True,1.0,-0.0,1.0
T0_temp0.2,EXAM_Q17,3,A,True,1.0,-0.0,1.0
T0_temp0.7,EXAM_Q06,3,A,False,0.6667,0.9183,0.0
T0_temp0.7,EXAM_Q08,3,A,False,0.6667,0.9183,0.0
T0_temp0.7,EXAM_Q09,3,A,True,1.0,-0.0,0.0
T0_temp0.7,EXAM_Q10,3,A,True,1.0,-0.0,1.0
T0_temp0.7,EXAM_Q11,3,A,True,1.0,-0.0,0.0
T0_temp0.7,EXAM_Q12,3,A,True,1.0,-0.0,1.0
T0_temp0.7,EXAM_Q13,3,A,True,1.0,-0.0,1.0
T0_temp0.7,EXAM_Q14,3,A,False,0.6667,0.9183,0.0
T0_temp0.7,EXAM_Q15,3,A,True,1.0,-0.0,1.0
T0_temp0.7,EXAM_Q17,3,A,True,1.0,-0.0,1.0
T1_temp0.2,EXAM_Q06,3,A,True,1.0,-0.0,0.0
T1_temp0.2,EXAM_Q08,3,A,True,1.0,-0.0,0.0
T1_temp0.2,EXAM_Q09,3,A,True,1.0,-0.0,0.0
T1_temp0.2,EXAM_Q10,3,A,True,1.0,-0.0,1.0
T1_temp0.2,EXAM_Q11,3,A,True,1.0,-0.0,0.0
T1_temp0.2,EXAM_Q12,3,A,True,1.0,-0.0,1.0
T1_temp0.2,EXAM_Q13,3,A,True,1.0,-0.0,1.0
T1_temp0.2,EXAM_Q14,3,A,True,1.0,-0.0,0.0
T1_temp0.2,EXAM_Q15,3,A,True,1.0,-0.0,1.0
T1_temp0.2,EXAM_Q17,3,A,True,1.0,-0.0,1.0
T1_temp0.7,EXAM_Q06,3,A,False,0.6667,0.9183,0.0
T1_temp0.7,EXAM_Q08,3,E,False,0.3333,1.585,0.0
T1_temp0.7,EXAM_Q09,3,A,False,0.6667,0.9183,0.0
T1_temp0.7,EXAM_Q10,3,A,True,1.0,-0.0,1.0
T1_temp0.7,EXAM_Q11,3,A,False,0.6667,0.9183,0.0
T1_temp0.7,EXAM_Q12,3,A,False,0.6667,0.9183,0.6667
T1_temp0.7,EXAM_Q13,3,B,False,0.3333,1.585,1.0
T1_temp0.7,EXAM_Q14,3,A,False,0.6667,0.9183,0.0
T1_temp0.7,EXAM_Q15,3,A,True,1.0,-0.0,1.0
T1_temp0.7,EXAM_Q17,3,A,True,1.0,-0.0,1.0
T2_temp0.2,EXAM_Q06,3,A,False,0.6667,0.9183,0.0
T2_temp0.2,EXAM_Q08,3,A,True,1.0,-0.0,0.0
T2_temp0.2,EXAM_Q09,3,,False,0.6667,0.9183,0.0
T2_temp0.2,EXAM_Q10,3,A,False,0.6667,0.9183,0.6667
T2_temp0.2,EXAM_Q11,3,A,True,1.0,-0.0,0.0
T2_temp0.2,EXAM_Q12,3,A,True,1.0,-0.0,1.0
T2_temp0.2,EXAM_Q13,3,A,True,1.0,-0.0,1.0
T2_temp0.2,EXAM_Q14,3,A,False,0.6667,0.9183,0.0
T2_temp0.2,EXAM_Q15,3,A,False,0.6667,0.9183,0.6667
T2_temp0.2,EXAM_Q17,3,B,True,1.0,-0.0,0.0
T2_temp0.7,EXAM_Q06,3,,False,0.3333,1.585,0.0
T2_temp0.7,EXAM_Q08,3,A,False,0.6667,0.9183,0.0
T2_temp0.7,EXAM_Q09,3,A,False,0.6667,0.9183,0.0
T2_temp0.7,EXAM_Q10,3,A,True,1.0,-0.0,1.0
T2_temp0.7,EXAM_Q11,3,,False,0.3333,1.585,0.0
T2_temp0.7,EXAM_Q12,3,A,False,0.6667,0.9183,0.6667
T2_temp0.7,EXAM_Q13,3,A,True,1.0,-0.0,1.0
T2_temp0.7,EXAM_Q14,3,A,True,1.0,-0.0,0.0
T2_temp0.7,EXAM_Q15,3,A,False,0.6667,0.9183,0.6667
T2_temp0.7,EXAM_Q17,3,A,False,0.6667,0.9183,0.6667
T3_temp0.2,EXAM_Q06,3,A,False,0.6667,0.9183,0.0
T3_temp0.2,EXAM_Q08,3,A,True,1.0,-0.0,0.0
T3_temp0.2,EXAM_Q09,3,A,False,0.6667,0.9183,0.0
T3_temp0.2,EXAM_Q10,3,A,True,1.0,-0.0,1.0
