config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits,avg_total_tokens_per_run,total_tokens,tokens_per_correct
T0_temp0.2,30,6,0.2,0.4,0.8,0.551,,,
T0_temp0.7,30,4,0.1333,0.2,0.6333,0.9346,,,
T1_temp0.2,30,5,0.1667,0.7,0.9,0.2755,,,
T1_temp0.7,30,6,0.2,0.1,0.6333,0.9598,,,
T2_temp0.2,30,7,0.2333,0.5,0.8333,0.4591,,,
T2_temp0.7,30,3,0.1,0.5,0.7667,0.5925,,,
T3_temp0.2,30,8,0.2667,0.6,0.8333,0.434,,,
T3_temp0.7,30,5,0.1667,0.3,0.6333,0.9095,,,
T4_temp0.2,30,5,0.1667,0.5,0.8,0.5258,,,
T4_temp0.7,30,8,0.2667,0.2,0.6667,0.868,,,
T5_temp0.2,30,4,0.1333,0.4,0.7,0.751,,,
T5_temp0.7,30,5,0.1667,0.1,0.6,1.0265,,,
