config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits,avg_total_tokens_per_run,total_tokens,tokens_per_correct
T0_temp0.2,30,0,0.0,0.4,0.8,0.551,,,
T0_temp0.7,30,3,0.1,0.6,0.8667,0.3673,,,
T1_temp0.2,30,1,0.0333,0.8,0.9333,0.1837,,,
T1_temp0.7,30,1,0.0333,0.3,0.7,0.7761,,,
T2_temp0.2,30,2,0.0667,0.1,0.7667,0.6428,,,
T2_temp0.7,30,4,0.1333,0.3,0.7333,0.7095,,,
T3_temp0.2,30,1,0.0333,0.5,0.8333,0.4591,,,
T3_temp0.7,30,1,0.0333,0.3,0.6667,0.8428,,,
T4_temp0.2,30,2,0.0667,0.2,0.7333,0.7346,,,
T4_temp0.7,30,2,0.0667,0.0,0.6,1.0516,,,
T5_temp0.2,30,1,0.0333,0.0,0.6667,0.868,,,
T5_temp0.7,30,4,0.1333,0.1,0.6333,0.9598,,,
