config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp1.0,500,452,0.904,0.91,0.974,0.0749
T0_temp1.5,500,449,0.898,0.91,0.972,0.0804
T1_temp1.0,500,450,0.9,0.92,0.976,0.0677
T1_temp1.5,500,438,0.876,0.85,0.948,0.1387
T2_temp1.0,500,442,0.884,0.81,0.938,0.1921
T2_temp1.5,500,437,0.874,0.77,0.926,0.2279
T3_temp1.0,500,449,0.898,0.91,0.968,0.0924
T3_temp1.5,500,445,0.89,0.88,0.96,0.1176
T4_temp1.0,500,436,0.872,0.82,0.946,0.1714
T4_temp1.5,500,437,0.874,0.78,0.93,0.2203
T5_temp1.0,500,423,0.846,0.65,0.888,0.339
T5_temp1.5,500,427,0.854,0.65,0.896,0.321
